"id","Taxon_group","Taxon","Common_name","Synonym"
360129,89,"Carex pendula","Pendulous Sedge","Pendulus Sedge"
358005,89,"Carex pulicaris","Flea Sedge",""
358011,89,"Carex remota","Remote Sedge",""
358016,89,"Carex rostrata","Bottle Sedge",""
358026,89,"Carex sylvatica","Wood-sedge","Wood-Sedge"
358034,89,"Carlina vulgaris","Carline Thistle",""
364658,89,"Carpobrotus edulis","Hottentot-fig","Kaffir Fig"
360137,89,"Centaurea scabiosa","Greater Knapweed",""
360152,89,"Centranthus ruber","Red Valerian",""
358043,89,"Cerastium arvense","Field Mouse-ear","Field Mouse-Ear"
360157,89,"Cerastium fontanum","Common Mouse-ear","Common Mouse-Ear"
358050,89,"Cerastium glomeratum","Sticky Mouse-ear","Sticky Mouse-Ear"
360173,89,"Ceratocapnos claviculata","Climbing Corydalis",""
360182,87,"Ceterach officinarum","Rustyback","Rusty-Back Fern"
358062,89,"Chaenorhinum minus","Small Toadflax",""
358069,89,"Chaerophyllum temulum","Rough Chervil",""
360205,89,"Chenopodium album","",""
360210,89,"Chrysosplenium oppositifolium","Opposite-leaved Golden-saxifrage",""
360218,89,"Circaea lutetiana","Enchanter's-nightshade","Enchanter's-Nightshade"
360234,89,"Cirsium acaule","Dwarf Thistle","Stemless Thistle"
360244,89,"Cirsium arvense","Creeping Thistle",""
358075,89,"Cirsium dissectum","Meadow Thistle",""
358087,89,"Cirsium heterophyllum","Melancholy Thistle",""
360258,89,"Cirsium palustre","Marsh Thistle",""
360267,89,"Cirsium vulgare","Spear Thistle",""
360286,89,"Clematis vitalba","Traveller's-joy","Traveller's-Joy"
358098,89,"Clinopodium acinos","Basil Thyme",""
364722,89,"Cochlearia","",""
360302,89,"Colchicum autumnale","Meadow Saffron","Naked Ladies"
358118,89,"Conopodium majus","Pignut",""
358135,89,"Cornus sanguinea","Dogwood",""
360309,89,"Corylus avellana","Hazel",""
360318,89,"Crambe maritima","Sea-kale","Sea-Kale"
358149,89,"Crassula helmsii","New Zealand Pigmyweed","New Zealand Pygmyweed"
360328,89,"Crataegus monogyna","Hawthorn",""
358158,89,"Crepis paludosa","Marsh Hawk's-beard","Marsh Hawk's-Beard"
360349,89,"Crithmum maritimum","Rock Samphire",""
360357,89,"Cruciata laevipes","Crosswort","Maywort"
360369,87,"Cryptogramma crispa","Parsley Fern",""
360388,89,"Cuscuta epithymum","Dodder","Lesser Dodder"
358165,89,"Cynoglossum officinale","Hound's-tongue","Common Houndstongue"
360399,89,"Cynosurus cristatus","Crested Dog's-tail","Crested Dog's-Tail"
368944,87,"Cystopteris fragilis","Brittle Bladder-fern",""
358190,89,"Cytisus scoparius","Broom",""
358205,89,"Dactylorhiza fuchsii","Common Spotted-orchid","Common Spotted-Orchid"
358257,89,"Dactylorhiza maculata","Heath Spotted-orchid","Heath Spotted-Orchid"
358269,89,"Dactylorhiza praetermissa","Southern Marsh-orchid","Southern Marsh-Orchid"
358290,89,"Daphne laureola","Spurge-laurel","Spurge-Laurel"
358297,89,"Daucus carota","Wild Carrot","Carrot"
360406,89,"Deschampsia cespitosa","Tufted Hair-grass","Tufted Hair-Grass"
358307,89,"Deschampsia flexuosa","Wavy Hair-grass","Wavy Hair-Grass"
360417,89,"Digitalis purpurea","Foxglove",""
369555,89,"Dioscorea communis","Black Bryony",""
358316,78,"Diphasiastrum alpinum","Alpine Clubmoss",""
360437,89,"Dipsacus fullonum s.l.","",""
358332,89,"Drosera anglica","Great Sundew",""
358336,89,"Drosera intermedia","Oblong-leaved Sundew","Long-Leaved Sundew"
360439,89,"Drosera rotundifolia","Round-leaved Sundew","Common Sundew"
358344,89,"Eleocharis multicaulis","Many-stalked Spike-rush",""
368685,89,"Elodea canadensis/nutallii","",""
358354,89,"Elytrigia atherica","Sea Couch",""
360454,89,"Empetrum nigrum","Crowberry agg.",""
360458,89,"Epilobium hirsutum","Great Willowherb",""
358377,99,"Equisetum arvense","Field Horsetail","Common Horsetail"
368709,99,"Equisetum fluviatile","Water Horsetail",""
358389,99,"Equisetum palustre","Marsh Horsetail",""
360465,89,"Erica cinerea","Bell Heather","Bell-Heather"
360476,89,"Erica tetralix","Cross-leaved Heath",""
358400,89,"Eriophorum angustifolium","Common Cottongrass",""
358412,89,"Eriophorum vaginatum","Hare's-tail Cottongrass","Harestail"
358429,89,"Euonymus europaeus","Spindle","Spindle-Tree"
360482,89,"Euphorbia amygdaloides","Wood Spurge",""
358440,89,"Euphorbia exigua","Dwarf Spurge",""
360489,89,"Euphorbia helioscopia","Sun Spurge",""
358445,89,"Filago minima","Small Cudweed",""
360499,89,"Filipendula ulmaria","Meadowsweet",""
360518,89,"Filipendula vulgaris","Dropwort",""
360526,89,"Fragaria vesca","Wild Strawberry",""
364719,89,"Fumaria","Fumitory",""
360542,89,"Galium aparine","Cleavers","Goosegrass"
358453,89,"Galium boreale","Northern Bedstraw",""
360563,89,"Galium mollugo","Hedge Bedstraw",""
360570,89,"Galium odoratum","Woodruff","Sweet Woodruff"
358462,89,"Galium palustre","Marsh-bedstraw","Common Marsh-Bedstraw"
360583,89,"Galium saxatile","Heath Bedstraw",""
358473,89,"Galium sterneri","Limestone Bedstraw",""
360593,89,"Galium verum","Lady's Bedstraw",""
358479,89,"Genista anglica","Petty Whin",""
358490,89,"Genista tinctoria","Dyer's Greenweed",""
358508,89,"Gentianella amarella","Autumn Gentian","Felwort"
360605,89,"Geranium robertianum","Herb-Robert","Herb Robert"
358516,89,"Geranium sanguineum","Bloody Crane's-bill","Bloody Crane's-Bill"
358524,89,"Geranium sylvaticum","Wood Crane's-bill",""
360623,89,"Geum urbanum","Herb Bennet","Wood Avens"
360639,89,"Glaucium flavum","Yellow Horned-poppy","Yellow Horned Poppy"
358539,89,"Glaux maritima","Sea-milkwort",""
368724,89,"Glebionis segetum","Corn Marigold",""
360650,89,"Glechoma hederacea","Ground-ivy","Ground-Ivy"
358541,89,"Glyceria maxima","Reed Sweet-grass","Great Water Grass"
358553,89,"Gymnadenia conopsea","Fragrant Orchid",""
358565,87,"Gymnocarpium dryopteris","Oak Fern",""
360658,89,"Hedera helix","Ivy",""
360663,89,"Helianthemum nummularium","Common Rock-rose","Common Rock-Rose"
358591,89,"Helictotrichon pratense","Meadow Oat-grass","Meadow Oat"
358604,89,"Heracleum mantegazzianum","Giant Hogweed",""
360682,89,"Heracleum sphondylium","Hogweed","Keck"
360700,89,"Hippocrepis comosa","Horseshoe Vetch",""
360710,89,"Hippuris vulgaris","Mare's-tail","Mare's-Tail"
358608,89,"Holcus lanatus","Yorkshire-fog","Yorkshire-Fog"
358618,89,"Honckenya peploides","Sea Sandwort",""
358625,89,"Hordeum secalinum","Meadow Barley",""
358639,89,"Hottonia palustris","Water-violet","Water-Violet"
358647,78,"Huperzia selago","Fir Clubmoss",""
360717,89,"Hyacinthoides non-scripta","Bluebell","Wild Hyacinth"
360728,89,"Hydrocharis morsus-ranae","Frogbit",""
360731,89,"Hydrocotyle vulgaris","Marsh Pennywort",""
358663,89,"Hypericum elodes","Marsh St John's-wort","Marsh St. John's-Wort"
358668,89,"Hypericum tetrapterum","Square-stalked St John's-wort","Square-Stalked St. John's-Wort"
358681,89,"Hypochaeris radicata","Cat's-ear","Common Catsear"
360748,89,"Ilex aquifolium","Holly",""
360756,89,"Impatiens glandulifera","Indian Balsam","Himalayan Balsam"
358691,89,"Inula conyzae","Ploughman's-spikenard",""
360766,89,"Iris pseudacorus","Yellow Iris","Flag Iris"
